Date,MVO_MaxSharpe,RiskParity,HRP,EqualWeight,BM_KODEX200,BM_SP500_KRW,BM_6040_Global
2019-01-31,0.050740479290772994,0.03977364095737562,0.03867576392517832,0.057263638106524156,0.09198635405866407,0.07300265973335263,0.048644945547358126
2019-02-28,0.022525288950435953,0.01616066539775421,0.02318012302692793,0.011476971900630756,-0.007579461200212689,0.038094324000760516,0.010482318146210865
2019-03-31,0.03802392848958345,0.017124864074552628,0.01825015406184357,0.013867245741915564,-0.02187142608886672,0.0356488380177431,0.008301255525724438
2019-04-30,0.034939064250190534,0.033922043968298884,0.026883458909122106,0.0422019017651035,0.028087592785728255,0.06330576242906427,0.027604065570593733
2019-05-31,-0.026144273862220867,-0.01118669749204387,-0.011256700566374081,-0.03201911161114764,-0.07474992140471315,-0.0398640252915744,-0.030514063968704264
2019-06-30,0.029131190260170088,0.015206236498291897,0.025161222520106843,0.03362836503573794,0.055187019141629046,0.040002003807499964,0.030523812347435442
2019-07-31,0.018469365447199116,0.005248999923846264,0.017522965392807566,0.0009866714577674404,-0.03919691051972163,0.03720513541588888,0.004158605861943165
2019-08-31,0.03529626541381199,0.012748092864822624,0.03171594180256126,0.024908987882966725,-0.02980849637321281,0.0053346291563569626,-0.004405890677355639
2019-09-30,-0.01850417202377279,0.0053139165601629335,-0.009691591570532718,-0.0021910165928025775,0.06009648704191983,0.015023850747962975,0.019280785621458643
2019-10-31,-0.00037558412005366285,-0.010931773569505678,-0.00427561043985069,-0.004775292841017843,0.01092743426381837,-0.010389216821498515,-0.005068428904044719
2019-11-30,0.022704107680503925,0.021271531021034205,0.015674453649406568,0.02666208624261227,0.0014461209216252158,0.04805025345577385,0.017639663633762393
2019-12-31,0.028922598828816606,0.04862957319276945,0.01666543469103836,0.04238193595543558,0.07509026312043021,0.010992256359952934,0.024959404766415092
2020-01-31,0.05934427035916374,0.02402847265071732,0.037021710008668496,0.028443650356626247,-0.029095446175189443,0.026195269982893343,0.0024242821049301985
2020-02-29,-0.011595958954140098,-0.04716121293320084,-0.020056983199311495,-0.018604007837459555,-0.05802881534208293,-0.06040183714678338,-0.03075523779803539
2020-03-31,-0.017397646072973783,-0.08343544021709405,-0.04146530068879896,-0.05279987877762351,-0.11419635054350163,-0.11664263736055525,-0.07310409741635543
2020-04-30,0.06947678364912839,0.12176912775109004,0.06850450013566994,0.10569867777364901,0.08990720078504277,0.11600596870953828,0.06329972057672793
2020-05-31,0.03129200676899319,0.03899024623394276,0.04040071927266041,0.05382904019277698,0.03698678155358759,0.07117165535754477,0.03611203783185177
2020-06-30,0.02542236908436462,0.019499750144663333,0.018592078977829312,0.04618853253675509,0.048365994562522996,-0.014730226597289509,0.010493673632507182
2020-07-31,0.05126201537259144,0.06221501272922833,0.052526833022276655,0.0703684994844685,0.06820936510074183,0.05100271671562662,0.038170978919500886
2020-08-31,0.0410783301618545,0.08016997647576288,0.05505593341317076,0.10699054911903938,0.027230456645032985,0.06083027512701755,0.02215288690534587
2020-09-30,-0.05797528563333877,-0.0506338417334746,-0.04228349219841458,-0.06570575251530797,0.011058572983892345,-0.04701535146445723,-0.008647579956910123
2020-10-31,-0.055614600257988,-0.04318393732326146,-0.03688042965092394,-0.04462284189422939,-0.028851885020033885,-0.05694423050552844,-0.02765073423930593
2020-11-30,0.07230231726654673,0.07982854783661243,0.03769686462475785,0.10195595412063764,0.15079618292472352,0.08404941392912013,0.06837307323332778
2020-12-31,0.025583529828044568,0.04365291215928496,0.038168547571751345,0.036004951147967514,0.13882100749188142,0.020229351588042066,0.0467838078850728
2021-01-31,0.01626911263732279,0.02914459785358984,0.014695071465350073,0.04284908777267208,0.042353652283312115,0.013379185399963411,0.01670995799503599
2021-02-28,-0.04457476688068448,-0.023716507080559283,-0.015017095695009234,-0.02760895867865872,0.014103429677418289,0.03412590969331397,0.010937876125471929
2021-03-31,-0.020603548064811954,0.012029309284729226,0.008071048189071998,0.01898583714955457,0.011509239026276319,0.057720350980169144,0.019860848190930286
2021-04-30,0.0027492102885395193,0.009695658781782522,0.007135892326017445,0.01548825813599043,0.018326341424214743,0.029022009586003872,0.013227166501188103
2021-05-31,0.016046325227275234,0.03509954384718222,0.026815872300545725,0.03826681491881548,0.010994460723092958,0.01627141113056174,0.0073222434361604576
2021-06-30,0.031386529715099865,0.021199591743510507,0.016935788688486726,0.04651901155206161,0.02654351279850231,0.03451581419063654,0.020590886168778213
2021-07-31,0.023797330167641097,0.006129204653169968,0.010512557319917806,-0.001120090844696523,-0.030882659184445216,0.03493270676777205,0.005570744733737364
2021-08-31,0.04316030862837249,0.030416506635107258,0.023557382104809944,0.03009500899566581,-0.011768803219910917,0.05084883325695633,0.01138126836458596
2021-09-30,-0.025166240666019163,-0.024673352559727614,-0.01218784521665449,-0.022697788073672974,-0.04263428818822668,-0.028674642718403143,-0.027519486379120682
