,CAGR,Vol,Sharpe,Sortino,MDD,Calmar,AvgTurnover
MVO_MaxSharpe,0.2353175543424586,0.12739810021276743,1.5813252710520773,3.466655715733268,-0.11036561355598584,2.132163694474345,0.2363949082660854
RiskParity,0.19021680461131307,0.11524668776799467,1.4078302985264228,2.385715565762006,-0.12666173658804114,1.5017700667564708,0.20748385100185562
HRP,0.1797121622250084,0.08778640280447216,1.7150160588973724,2.968992820858147,-0.07760448848991952,2.3157444333693693,0.17144697234162184
EqualWeight,0.29191143048911017,0.16025282572880856,1.5699689810690718,3.2668882459791146,-0.10739661700350533,2.7180691406655986,0.1366215751539022
BM_KODEX200,0.270950310916495,0.3045757680996691,0.8700492443992048,1.8446605970493155,-0.3432316127511964,0.789409544023857,
BM_SP500_KRW,0.22558144294988614,0.14696308774509226,1.3350482836868152,2.0989654033883256,-0.16999904492111495,1.3269571194036014,
BM_6040_Global,0.1570642927641135,0.12200437886223293,1.1012484603809878,1.8525811522086992,-0.14164559193101967,1.108854081675924,
