,CAGR,Vol,Sharpe,Sortino,MDD,Calmar,AvgTurnover
MVO_MaxSharpe,0.19535031929489688,0.12379640181526619,1.3537684477474705,2.772189256707152,-0.11825337872255515,1.6519639557464636,0.23823772789588096
RiskParity,0.20109171214167954,0.11862816849861772,1.4487738293305734,2.4395799448393234,-0.12290940184202637,1.6360970692879926,0.2123304479311165
HRP,0.1636131822672271,0.09084143780198942,1.5070176281441345,2.675188630303428,-0.08264006662259527,1.9798287798390077,0.17474382191101123
EqualWeight,0.2918985794439155,0.16024354095555302,1.5699871278008035,3.266890123083538,-0.10739661700350545,2.717949480982142,0.13715824817974626
BM_KODEX200,0.270950310916495,0.3045757680996691,0.8700492443992048,1.8446605970493155,-0.3432316127511964,0.789409544023857,
BM_SP500_KRW,0.22558144294988614,0.14696308774509226,1.3350482836868152,2.0989654033883256,-0.16999904492111495,1.3269571194036014,
BM_6040_Global,0.1570642927641135,0.12200437886223293,1.1012484603809878,1.8525811522086992,-0.14164559193101967,1.108854081675924,
