,CAGR,Vol,Sharpe,Sortino,MDD,Calmar,AvgTurnover
MVO_MaxSharpe,0.24995993881035505,0.12965138844307628,1.6434322136987636,3.4182164711767107,-0.10750388494246954,2.325124705438511,0.22582426809217981
RiskParity,0.19018161053143756,0.12756171419359705,1.2785288347682942,2.1858487389686125,-0.12016147417577383,1.5827170217072848,0.1812626194201816
HRP,0.17647262517070228,0.09588322324902158,1.542324165005775,2.86693530750299,-0.07266592190987542,2.428547254785731,0.15494875785032516
EqualWeight,0.2991112531750595,0.1695512586703303,1.5224743026944423,3.2995425430323464,-0.10621826280340618,2.816005885246578,0.13735990769464135
BM_KODEX200,0.2919050070829099,0.32040609413945914,0.8908833366262114,1.8934699110754996,-0.3432316127511962,0.8504607275044557,
BM_SP500_KRW,0.20595879743498258,0.15200281470428223,1.1837733531721493,1.8794754461361798,-0.16999904492111506,1.211529144358158,
BM_6040_Global,0.15661274690285598,0.1284731015873338,1.0440786783664107,1.8032306343555113,-0.14164559193101978,1.1056662248912419,
