,000270.KS,000660.KS,005380.KS,005930.KS,006400.KS,009540.KS,012450.KS,028260.KS,034020.KS,035420.KS,042660.KS,051910.KS,055550.KS,068270.KS,069500.KS,105560.KS,133690.KS,148070.KS,153130.KS,207940.KS,229200.KS,261240.KS,360750.KS,411060.KS,458730.KS,AAPL,AMD,AMZN,AVGO,COST,GOOGL,JPM,LLY,META,MSFT,NVDA,TLT,TSLA,V,XOM
2018-12-31,,,,0.05508980036556503,,0.014477436502940217,0.02983038130086188,,,,0.015115551306757175,,0.05941108445956691,,0.060480184524677634,,0.033962210557984075,1.0000000000000002e-06,0.15647410769954595,,0.03515670998630854,0.11007560581080991,0.04086961543948748,0.10012492057786516,0.043566157412570757,,0.008722107334755041,,,0.03676626386058116,,,0.05017938064567476,,0.03172881304973479,,0.08344928648964432,,0.0345193826746693,
2019-01-31,0.033041660769405054,,,,,0.013627147081652274,0.031810462934840876,,,,0.015112022387359345,,0.05693680082230356,,0.059262422463635916,,0.03584985826504253,1.0000000000000002e-06,0.15819545367650753,,0.03516881372545279,0.1147038251372943,0.04323745293816389,0.08930687985311986,0.04645034476371565,,0.00878819814996175,,0.04825623568803894,0.040758902205719795,,,0.05493104469741365,,,,0.07709972118619852,,0.037461753254173794,
2019-02-28,0.03400249033400121,,,,0.02762251065309196,0.014362995404466691,0.03132743646046534,,,,0.016062735142236304,,,,0.06517388699316229,,0.03720057674082831,9.999999999999997e-07,0.16268133117041503,,0.031802057152365754,0.1120407110706847,0.045489647796688404,0.1301068160869054,0.04937961566464919,,0.009183765650333109,,0.04387094761220882,,,,0.04615855776433793,,0.033507447896807006,,0.07527695775889998,,0.03474851264745261,
2019-03-31,0.038249890637024726,,,,,,0.04198359716232686,,,,0.020248644872992598,0.04112490775601387,0.06288073141690975,,0.06958718682589954,,0.0406874213218684,1e-06,0.05594599958639108,,0.03802141859502812,0.1759040378210153,0.050531538639447884,1e-06,0.054327603544551406,,0.010027860591762864,,0.04646534981365954,,,,0.061443554291090406,,0.03457482423540805,,0.1181489625925936,,0.03984447029601604,
2019-04-30,0.022770907391147652,,,,0.022693396821614253,,0.0310780928517556,,,,,0.029309299414995087,0.04308976299518186,,0.05319141104803645,,0.03254913446801669,1e-06,0.15380908104624993,,0.03181275291790197,0.12471672914486433,0.03990137572591055,0.14726562941799076,0.04266000558923453,,0.008688764182446572,,0.03500620086407016,,,,0.05137924307292224,,0.027720327111331534,,0.07147318980888571,,0.030883696127444207,
2019-05-31,0.026006197258575885,,0.03295970545593987,,0.030187341420824153,,,,,,,0.034417840794383314,0.05353036534095472,,0.0572610923030145,,0.04218060109509032,1.0000000000131567e-06,0.149998,,0.038924399414565436,0.20000000000000004,0.050744976732754174,1.0000000000015166e-06,0.053766536028439865,,0.012228353790028767,,0.04590459129044627,,,,0.08589109034700391,,0.04049676898193005,,1.0000000000000002e-06,,0.04549913974604881,
2019-06-30,0.030339819294130384,,0.03530990921376301,0.045857564251790994,,,,,,,0.02039309285477277,,0.05381242385618919,,0.054254063734817816,,0.04218244117626172,1.000000000000284e-06,0.149998000000001,,0.03899657840832046,0.19999999999999954,0.04764706888518114,1.0000000000017357e-06,0.05049508907706779,,0.01025959151819276,,,0.04506805593364976,,,0.08264237008970406,,0.042305605728495496,,1.000000000003222e-06,,0.05043532597766212,
2019-07-31,0.030818266811041457,,0.0436075950185537,,,,0.056088849820661285,,,,0.02405102575118915,,0.0707068820807757,,0.06190719101676314,,0.05193859435398206,1.0000000000000002e-06,0.24999999999999845,,0.041117584747246264,1.0000000000123292e-06,0.0651480142523255,1.00000000002181e-06,0.06744700555370907,,0.014147555400907856,,0.04736895932473133,0.06400431375475611,,,,,0.05062552225119581,,1.0000000000158227e-06,,0.06101863986216319,
2019-08-31,0.030791931655247073,,0.03909031630302574,0.04970584088925441,0.04088643955568018,,,,,,,,0.06373559349989943,,0.05647881897528112,,0.051501189283738466,1.0000000000428475e-06,0.24999999999991532,,0.044337112890069474,1.000000000041794e-06,0.062257679735777526,1.0000000000826399e-06,0.06495683978559509,,0.015637846376265245,,0.04917810929413383,0.06258947123086203,,,,,0.05356424374186153,,1.0000000000531201e-06,,0.06528456678339353,
2019-09-30,0.021223259052957057,,0.032287055425876864,,0.029820296562697662,,0.03181435593037707,,,0.025929515869568324,,,,,0.05449621457446657,,0.03774500407173517,0.07440531039897988,1.0000000000000002e-06,,0.037973242166305585,0.19707922376468168,0.048669311616465,0.10642092283673979,0.05020965405067078,,,,0.033833606486192075,0.04234827058578905,,,,0.02319415939067683,0.03540609504612447,,0.07851446583633848,,0.03862903633335782,
