,CAGR,Vol,Sharpe,Sortino,MDD,Calmar,AvgTurnover
MVO_MaxSharpe,0.24147230803983644,0.12949260582920535,1.596553795108816,3.7156851406551326,-0.10405315263636039,2.3206630642295045,0.22128371815387124
RiskParity,0.1999554922181601,0.11769115391038078,1.4507215569382654,2.509220261691203,-0.12827781691449336,1.5587690609939615,0.16877670475585113
HRP,0.18284861633920668,0.09161909118962862,1.6761820313331774,3.1193254760985103,-0.07410537169177267,2.4674137942352012,0.15157071240390305
EqualWeight,0.28817207387043786,0.15241641325677874,1.6233458827166758,3.7909028459305736,-0.10119062131479373,2.8478140575297375,0.13001254547645397
BM_KODEX200,0.270950310916495,0.3045757680996691,0.8700492443992048,1.8446605970493155,-0.3432316127511964,0.789409544023857,
BM_SP500_KRW,0.22558144294988614,0.14696308774509226,1.3350482836868152,2.0989654033883256,-0.16999904492111495,1.3269571194036014,
BM_6040_Global,0.1570642927641135,0.12200437886223293,1.1012484603809878,1.8525811522086992,-0.14164559193101967,1.108854081675924,
