,CAGR,Vol,Sharpe,Sortino,MDD,Calmar,AvgTurnover
MVO_MaxSharpe,0.2241442432903744,0.12403089459047814,1.5463597560970466,3.2751025125361832,-0.09570447464047394,2.3420455953851778,0.20592930583549482
RiskParity,0.20004007231371923,0.1225334890130792,1.399153102970876,2.2424970706509506,-0.14370869542740206,1.391983078816371,0.16782233475257693
HRP,0.16972505561540485,0.08657998401580819,1.6381697664196297,2.9770989161129373,-0.07034614996636945,2.4127127880707855,0.18333782575229043
EqualWeight,0.2963213704947796,0.16057535047798638,1.5887606152552312,3.431011449214005,-0.10569950795281935,2.8034318818877315,0.13117353140845234
BM_KODEX200,0.270950310916495,0.3045757680996691,0.8700492443992048,1.8446605970493155,-0.3432316127511964,0.789409544023857,
BM_SP500_KRW,0.22558144294988614,0.14696308774509226,1.3350482836868152,2.0989654033883256,-0.16999904492111495,1.3269571194036014,
BM_6040_Global,0.1570642927641135,0.12200437886223293,1.1012484603809878,1.8525811522086992,-0.14164559193101967,1.108854081675924,
