,투입원금,최종평가액,수익배수,연환산IRR,평가액MDD
MVO_MaxSharpe|순수적립,17800000.0,53192921.70778544,2.988366388077834,0.2887783809048309,-0.05689326807059003
MVO_MaxSharpe|초기500만+적립,22800000.0,81199042.7051328,3.561361522154947,0.2760669406900854,-0.08066821979612526
RiskParity|순수적립,17800000.0,41978399.635048695,2.3583370581488032,0.22612490209839653,-0.03607047699919241
RiskParity|초기500만+적립,22800000.0,63788260.91162724,2.797730741738037,0.22317724533496397,-0.08477366204490089
HRP|순수적립,17800000.0,41558760.13259929,2.334761805202207,0.22347638344277365,-0.03717836079781944
HRP|초기500만+적립,22800000.0,60503089.45398524,2.6536442742975983,0.2116600582786582,-0.046447375340289754
EqualWeight|순수적립,17800000.0,64302255.88143409,3.612486285473825,0.3394018796860282,-0.06790270745841975
EqualWeight|초기500만+적립,22800000.0,101415341.76049009,4.4480413052846535,0.3253765196706918,-0.09279704420445045
