,CAGR,Vol,Sharpe,MDD,Calmar,AvgIC,HitIC
ML_RidgeAlpha,0.18696213454313004,0.1468234138328467,1.1134541896809538,-0.16054960709834287,1.1645131864359435,0.02934586564420856,0.5909090909090909
EqualWeight_All,0.29399885087081445,0.15956503298110652,1.587217885188589,-0.1464842004273239,2.007034547160449,,
BM_KODEX200,0.2592165210168904,0.3052581969499668,0.8375918268369307,-0.34323161275119607,0.7552233284665214,,
