,ML_RidgeAlpha,EqualWeight_All,BM_KODEX200
2019-02-28,0.026845567880267686,0.0033279399979156206,-0.007579461200212689
2019-03-31,0.01940061753746879,0.007437403706220142,-0.02187142608886672
2019-04-30,0.0419294887896687,0.05173849185737065,0.028087592785728255
2019-05-31,-0.03348313717197877,-0.053638273238441066,-0.07474992140471315
2019-06-30,0.028244748787846767,0.04588554952490773,0.055187019141629046
2019-07-31,0.011042958288717344,0.010890270220723208,-0.03919691051972163
2019-08-31,0.01462925616155942,0.005578303422382658,-0.02980849637321281
2019-09-30,0.01632401018919511,0.022058122152285396,0.06009648704191983
2019-10-31,-0.014548816207693546,0.02012665756367242,0.01092743426381837
2019-11-30,5.922329792991529e-06,0.02234851693150969,0.0014461209216252158
2019-12-31,0.05399309923185775,0.0419646714643423,0.07509026312043021
2020-01-31,0.01066624473713645,0.02933846929878352,-0.029095446175189443
2020-02-29,-0.02759610351640248,-0.03831442540673037,-0.05802881534208293
2020-03-31,-0.09003741671532942,-0.08715895408330232,-0.11419635054350163
2020-04-30,0.08928243556833672,0.11698277250817414,0.08990720078504277
2020-05-31,0.04696243657878457,0.06124820765290708,0.03698678155358759
2020-06-30,0.12589033583038298,0.04476390227116273,0.048365994562522996
2020-07-31,0.1250459133229513,0.08570385143565638,0.06820936510074183
2020-08-31,0.07212317743344027,0.08424206020459558,0.027230456645032985
2020-09-30,-0.013259888973077944,-0.03943374824983478,0.011058572983892345
2020-10-31,-0.019997881225865308,-0.03704536420886149,-0.028851885020033885
2020-11-30,0.09449316776526799,0.1154953865017545,0.15079618292472352
2020-12-31,0.05991351514797072,0.04996036713383926,0.13882100749188142
2021-01-31,-0.03754471152601617,0.03479449803690421,0.042353652283312115
2021-02-28,0.03858692421988189,0.011658951772567785,0.014103429677418289
2021-03-31,0.006170556557419323,0.0352671762582629,0.011509239026276319
2021-04-30,-0.0026368534130272892,0.02555109468591909,0.018326341424214743
2021-05-31,0.0681896568594761,0.024999156106432992,0.010994460723092958
2021-06-30,0.07861374571848144,0.047891451102579176,0.02654351279850231
2021-07-31,0.003051330169499813,0.010485710086655955,-0.030882659184445216
2021-08-31,0.015992065258028855,0.026074429398089873,-0.011768803219910917
