strategy,CAGR,Vol,Sharpe,MDD,Calmar,AvgIC,HitIC,RejectHit,source
Core_InvVol_All,0.2008647189301775,0.1013827727412393,1.675296635953981,-0.1001763818799167,2.005110537641076,,,,reject_model_summary.csv
EqualWeight_All,0.2939988508708144,0.1595650329811065,1.587217885188589,-0.1464842004273239,2.007034547160449,,,,reject_model_summary.csv
Regime_Overlay,0.141895843950889,0.0745400723320584,1.5631148094740568,-0.0854016387807317,1.661511956640621,,,,regime_overlay_summary.csv
ETF_Only_Core,0.1398057516368915,0.0742735113806004,1.5435317050237949,-0.0852160292987728,1.64060391909043,,,,reject_model_summary.csv
Reject_InvVol,0.1857137251886567,0.1154028092492838,1.373031653520589,-0.1142681605988436,1.6252447244743358,0.0293458656442085,,0.4318181818181818,reject_model_summary.csv
ML_RidgeAlpha,0.18696213454313,0.1468234138328467,1.1134541896809538,-0.1605496070983428,1.1645131864359437,0.0293458656442085,0.5909090909090909,,ml_alpha_summary.csv
BM_KODEX200,0.2592165210168904,0.3052581969499668,0.8375918268369307,-0.343231612751196,0.7552233284665214,,,,reject_model_summary.csv
DL_TinyMLP,0.1321945839804597,0.1634760640481353,0.7227223193183514,-0.2927932609603623,0.4514946264366238,0.0021216314881582,0.4886363636363636,,dl_alpha_summary.csv
