,ETF_Only_Core,Regime_Overlay,BM_KODEX200
2019-02-28,0.011153156964667342,0.010872679648105132,-0.007579461200212689
2019-03-31,0.012407208871008886,0.010729112170460697,-0.02187142608886672
2019-04-30,0.024018306080929714,0.023588591199359216,0.028087592785728255
2019-05-31,-0.009847095128959952,-0.014307611263222724,-0.07474992140471315
2019-06-30,0.013406975072768789,0.015963675901703236,0.055187019141629046
2019-07-31,0.013693701351341379,0.013416068318844832,-0.03919691051972163
2019-08-31,0.0128216511033487,0.012781973916685993,-0.02980849637321281
2019-09-30,0.0028457824245488625,0.0012869101466124553,0.06009648704191983
2019-10-31,-0.0027146146081753215,-0.0028517402778309334,0.01092743426381837
2019-11-30,0.013833529586885857,0.013833529586885857,0.0014461209216252158
2019-12-31,0.0074171216374968405,0.008986301725132723,0.07509026312043021
2020-01-31,0.022501436523057017,0.02139915216762009,-0.029095446175189443
2020-02-29,-0.013722077065768903,-0.01378649314421924,-0.05802881534208293
2020-03-31,-0.034502289858697556,-0.034502289858697556,-0.11419635054350163
2020-04-30,0.04576633161265068,0.048280824083659704,0.08990720078504277
2020-05-31,0.034884015044918525,0.036073622706526656,0.03698678155358759
2020-06-30,0.0032613060184397843,0.003929658512903066,0.048365994562522996
2020-07-31,0.03149268931078385,0.035409673121552944,0.06820936510074183
2020-08-31,0.017662003378053917,0.017531932032655267,0.027230456645032985
2020-09-30,-0.023604940075288572,-0.023604940075288572,0.011058572983892345
2020-10-31,-0.033907545175218295,-0.033907545175218295,-0.028851885020033885
2020-11-30,0.03978907706271909,0.03978907706271909,0.15079618292472352
2020-12-31,0.02608407953790674,0.029033555882002206,0.13882100749188142
2021-01-31,0.01375358793219662,0.014653518974990412,0.042353652283312115
2021-02-28,0.003289731959216617,0.0032543247735487314,0.014103429677418289
2021-03-31,0.019733404194744557,0.019733404194744557,0.011509239026276319
2021-04-30,0.008091376126914527,0.009457223294225903,0.018326341424214743
2021-05-31,0.010887620789566963,0.010338642264556764,0.010994460723092958
2021-06-30,0.01809327504891718,0.020146348675073734,0.02654351279850231
2021-07-31,0.015348440729238187,0.015122900036613755,-0.030882659184445216
2021-08-31,0.0224253495786809,0.023991837776668853,-0.011768803219910917
