ticker,weight,name,asset_class
SHY,0.17499999999999996,미국채1-3년 ETF,cash_usd
261240.KS,0.17499999999999996,KODEX 미국달러선물,cash_usd
SCHD,0.15067768265009104,미국배당 ETF,us_equity_etf
SPY,0.14469246661939586,S&P500 ETF,us_equity_etf
QQQ,0.12817728703095024,Nasdaq100 ETF,us_equity_etf
IWM,0.11532902486579584,미국소형주 ETF,us_equity_etf
229200.KS,0.06362337586941239,KODEX 코스닥150,kr_equity_etf
069500.KS,0.04750016296435468,KODEX 200,kr_equity_etf
